type,iri,label,label_de,description,description_de,subclass of,subproperty of,domain,range,same as,equivalent class,equivalent property,note,instance of
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:commenting,commenting,kommentieren,used with P80 (motivation) for when the user intends to comment about the target entity,"wird zusammen mit P80 (Motivation) verwendet, wenn die/der Benutzende beabsichtigt, einen Kommentar über die Zielentität abzugeben",,,,,http://www.w3.org/ns/oa#commenting,,,Wikibase ID: Q61,https://gitlab.com/nfdi4culture/wikibase4research/model/motivation
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:describing,describing,beschreiben,used with P80 (motivation) for when the user intends to describe the target entity,"wird zusammen mit P80 (Motivation) verwendet, wenn die/der Benutzende beabsichtigt, die Zielentität zu beschreiben",,,,,http://www.w3.org/ns/oa#describing,,,Wikibase ID: Q62,https://gitlab.com/nfdi4culture/wikibase4research/model/motivation
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:editing,editing,bearbeiten,used with P80 (motivation) for when the user intends to request a change or edit to the target entity,"wird zusammen mit P80 (Motivation) verwendet, wenn die/der Benutzende beabsichtigt, eine Änderung oder Bearbeitung der Zielentität zu beantragen",,,,,http://www.w3.org/ns/oa#editing,,,Wikibase ID: Q63,https://gitlab.com/nfdi4culture/wikibase4research/model/motivation
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:highlighting,highlighting,hervorheben,used with P80 (motivation) for when the user intends to highlight the target entity or segment of it,"wird zusammen mit P80 (Motivation) verwendet, wenn die/der Benutzende beabsichtigt, die Zielentität oder ein Segment davon zu markieren",,,,,http://www.w3.org/ns/oa#highlighting,,,Wikibase ID: Q64,https://gitlab.com/nfdi4culture/wikibase4research/model/motivation
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:identifying,identifying,identifizieren,used with P80 (motivation) for when the user intends to assign an identity to the target entity,"wird zusammen mit P80 (Motivation) verwendet, wenn die/der Benutzende beabsichtigt, der Zielentität eine Identität zuzuweisen",,,,,http://www.w3.org/ns/oa#identifying,,,Wikibase ID: Q65,https://gitlab.com/nfdi4culture/wikibase4research/model/motivation
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:linking,linking,verlinken,used with P80 (motivation) for when the user intends to link to a resource related to the target entity,"wird zusammen mit P80 (Motivation) verwendet, wenn die/der Benutzende beabsichtigt, einen Link zu einer Ressource zu erstellen, die mit der Zielentität in Verbindung steht",,,,,http://www.w3.org/ns/oa#linking,,,Wikibase ID: Q66,https://gitlab.com/nfdi4culture/wikibase4research/model/motivation
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:moderating,moderating,moderieren,used with P80 (motivation) for when the user intends to assign some value or quality to the target entity,"wird zusammen mit P80 (Motivation) verwendet, wenn die/der Benutzende beabsichtigt, der Zielentität einen Wert oder eine Qualität zuzuweisen",,,,,http://www.w3.org/ns/oa#moderating,,,Wikibase ID: Q67,https://gitlab.com/nfdi4culture/wikibase4research/model/motivation
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:questioning,questioning,hinterfragen,used with P80 (motivation) for when the user intends to ask a question about the target entity,"wird zusammen mit P80 (Motivation) verwendet, wenn die/der Benutzende beabsichtigt, eine Frage über die Zielentität zu stellen",,,,,http://www.w3.org/ns/oa#questioning,,,Wikibase ID: Q68,https://gitlab.com/nfdi4culture/wikibase4research/model/motivation
http://www.w3.org/2002/07/owl#NamedIndividual,wgm:replying,replying,beantworten,"used with P80 (motivation) for when the user intends to reply to a previous statement, either an annotation or another resource","wird zusammen mit P80 (Motivation) verwendet, wenn die/der Benutzende beabsichtigt, auf eine frühere Aussage zu antworten, entweder auf eine Anmerkung oder eine andere Ressource",,,,,http://www.w3.org/ns/oa#replying,,,Wikibase ID: Q69,https://gitlab.com/nfdi4culture/wikibase4research/model/motivation
http://www.w3.org/2002/07/owl#Class,wgm:collection,Collection,Sammlung,"aggregation of physical things that are being curated by an actor - not for digital objects, use Digital collection instead","Zusammenstellung von physischen Dingen, die von einem Akteur kuratiert werden – nicht für digitale Objekte, stattdessen »digitale Sammlung« verwenden",,,,,,http://www.cidoc-crm.org/cidoc-crm/E78_Collection,,Wikibase ID: Q7,
